filename,category,source,source_url,suggested_use,note
99_originais_fontes/happycow_table_pizzas_drinks_original.jpeg,original,HappyCow,https://images.happycow.net/venues/1024/26/60/hcmp266043_3290198.jpeg,Arquivo original de fonte pública/autorizada,Mantido para rastreabilidade.
99_originais_fontes/happycow_yellow_pizza_original.jpeg,original,HappyCow,https://images.happycow.net/venues/1024/26/60/hcmp266043_3718669.jpeg,Arquivo original de fonte pública/autorizada,Mantido para rastreabilidade.
99_originais_fontes/ubereats_feast_original_small.jpeg,original,Uber Eats,https://tb-static.uber.com/prod/image-proc/processed_images/04d07dc0fc13e56bc1671e88eb3715e9/19ec62ba51fde35ba0aff5b84321c5af.jpeg,Arquivo original de fonte pública/autorizada,Mantido para rastreabilidade.
03_espaco_interior_exterior/espaco_exterior_esplanada_rua.jpg,espaço/exterior,Restaurant Guru,https://img02.restaurantguru.com/c55f-Pepe-Verde-Ericeira-interior.jpg,Secção contactos/localização ou galeria,Cropped de colagem; resolução média.
03_espaco_interior_exterior/espaco_interior_neon_mesas.jpg,espaço/interior,Restaurant Guru,https://img02.restaurantguru.com/c55f-Pepe-Verde-Ericeira-interior.jpg,"Hero secundário, secção “O Espaço”, galeria",Boa para mostrar identidade do espaço.
05_equipa_staff/equipa_bar_balcao_verde.jpg,equipa/staff,Restaurant Guru,https://img02.restaurantguru.com/c55f-Pepe-Verde-Ericeira-interior.jpg,Secção “equipa/feito por nós” ou galeria,Única imagem encontrada com equipa/atendimento; não é ideal para hero.
04_comida/comida_pizza_queijo_crop.jpg,comida/pizza,Restaurant Guru,https://img02.restaurantguru.com/c5da-Restaurant-PIZZERIA-PEPE-VERDE-ERICEIRA-dishes.jpg,Galeria ou card de pizza,Crop parcial para evitar overlay/cartoon.
04_comida/comida_pao_alho_tigela.jpg,comida/antipasti,Restaurant Guru,https://img02.restaurantguru.com/c5da-Restaurant-PIZZERIA-PEPE-VERDE-ERICEIRA-dishes.jpg,Menu > Antipasti / Pão de alho,"Imagem vertical, boa para detalhe."
04_comida/comida_pizza_prato_mesa.jpg,comida/pizza,Restaurant Guru,https://img02.restaurantguru.com/c5da-Restaurant-PIZZERIA-PEPE-VERDE-ERICEIRA-dishes.jpg,"Galeria, menu, destaque de pizza",Imagem vertical com pessoa parcial.
03_espaco_interior_exterior/espaco_interior_balcao_verde_mesas.jpg,espaço/interior,Restaurant Guru,https://img02.restaurantguru.com/c844-Restaurant-Pizzeria-Pepe-Verde-Ericeira-design.jpg,Secção “O Espaço” / galeria,"Boa para mostrar chão, balcão e ambiente."
04_comida/comida_saladas_mesa_bebidas.jpg,comida/saladas,Restaurant Guru,https://img02.restaurantguru.com/c844-Restaurant-Pizzeria-Pepe-Verde-Ericeira-design.jpg,Menu > Insalate / galeria,Cropped de mesa com saladas e bebidas.
06_ambiente_lifestyle/ambiente_esplanada_jantar_noite.jpg,ambiente/lifestyle,Restaurant Guru,https://img02.restaurantguru.com/c844-Restaurant-Pizzeria-Pepe-Verde-Ericeira-design.jpg,Galeria / secção de ambiente,Crop evita a maior parte do sticker/cartoon; contém clientes.
04_comida/comida_pizzas_mesa_exterior_01.jpg,comida/pizza,Restaurant Guru,https://img02.restaurantguru.com/c1af-Restaurant-Pizzeria-Pepe-Verde-Ericeira-pizza-4.jpg,Galeria / menu pizza,Cropped de colagem; resolução média.
04_comida/comida_pizzas_mesa_exterior_02.jpg,comida/pizza,Restaurant Guru,https://img02.restaurantguru.com/c1af-Restaurant-Pizzeria-Pepe-Verde-Ericeira-pizza-4.jpg,Galeria / menu pizza,Cropped de colagem; resolução média.
04_comida/comida_margherita_mesa.jpg,comida/pizza,Restaurant Guru,https://img02.restaurantguru.com/c1af-Restaurant-Pizzeria-Pepe-Verde-Ericeira-pizza-4.jpg,Destaque Margherita / menu,"Boa cor, crop sem sticker."
04_comida/comida_pizza_closeup_manjericao.jpg,comida/pizza,HappyCow,https://images.happycow.net/venues/1024/26/60/hcmp266043_1486153.jpeg,Hero de comida / card pizza,"Boa fotografia vertical, forte para food close-up."
04_comida/comida_pizza_vegana_cogumelos.jpg,comida/pizza vegan,HappyCow,https://images.happycow.net/venues/1024/26/60/hcmp266043_1445015.jpeg,Menu vegan / galeria,Boa prova visual de opções vegan/vegetarianas.
04_comida/comida_salada_cogumelos.jpg,comida/salada,HappyCow,https://images.happycow.net/venues/1024/26/60/hcmp266043_1445016.jpeg,Menu saladas / galeria,Utilizável mas menos forte visualmente.
04_comida/comida_pao_alho_prato.jpg,comida/antipasti,HappyCow,https://images.happycow.net/venues/1024/26/60/hcmp266043_2226755.jpeg,Menu antipasti / pão de alho,Boa para entrada/antipasti.
04_comida/comida_pizza_vegana_fatia.jpg,comida/pizza vegan,HappyCow,https://images.happycow.net/venues/1024/26/60/hcmp266043_2226756.jpeg,Menu vegan / galeria,"Boa imagem real, mas atenção a crop mobile por conter pernas/mesa."
04_comida/comida_duas_pizzas_veganas_mesa.jpg,comida/pizza,HappyCow,https://images.happycow.net/venues/1024/26/60/hcmp266043_3150231.jpeg,Galeria / opções vegan,"Útil para mostrar abundância, não usar como hero principal."
06_ambiente_lifestyle/ambiente_mesa_pizzas_bebidas.jpg,ambiente/lifestyle,HappyCow,https://images.happycow.net/venues/1024/26/60/hcmp266043_3290198.jpeg,Secção “partilhar à mesa” / galeria,Boa para lifestyle/comida à mesa.
04_comida/comida_pizza_gialla_cogumelos.jpg,comida/pizza gialle,HappyCow,https://images.happycow.net/venues/1024/26/60/hcmp266043_3718669.jpeg,Menu Pizze Gialle,Útil para categoria Pizze Gialle.
04_comida/comida_uber_eats_pepe_verde_spread.png,comida/mesa completa,Uber Eats / web cache,https://www.ubereats.com/pt-en/store/pepe-verde-ericeira/RU8gPOfdVP-UlyQCRUrMQQ,Secção Uber Eats / pedir em casa,"Tem texto sobreposto PEPE VERDE; útil para delivery, não para card limpo de prato."
